nome_repositorio,url,estrelas,data_criacao,idade_em_dias,idade_em_anos,total_pull_requests,total_pull_requests_aceitas,total_releases,data_ultima_atualizacao,dias_desde_ultima_atualizacao,linguagem_primaria,linguagens,total_issues,issues_abertas,issues_fechadas,razao_issues_fechadas,media_prs_aceitas_linguagem,media_releases_linguagem,media_dias_desde_atualizacao_linguagem
carbon-language/carbon-lang,https://github.com/carbon-language/carbon-lang,33860,27/04/2020,2304,6.3,6335,5672,765,19/08/2026,0,GDB,"GDB, Starlark, Python, C++, C, Shell, Makefile, Lex, Yacc, JavaScript",868,208,660,0.7604,5672.0,765.0,0.0
explosion/spaCy,https://github.com/explosion/spaCy,33833,03/07/2014,4430,12.1,4114,3603,137,07/08/2026,12,Shell,"Shell, Python, HTML, JavaScript, Makefile, Sass, Jinja, Cython, Dockerfile, C++",5770,176,5594,0.9695,6587.32,101.51,68.88
TabbyML/tabby,https://github.com/TabbyML/tabby,33830,16/03/2023,1252,3.4,3321,3002,249,30/06/2026,50,Python,"Python, Makefile, Shell, JavaScript, Rust, PowerShell, HTML, TypeScript, RenderScript, Tree-sitter Query",1014,258,756,0.7456,4381.96,96.0,134.19
halfrost/LeetCode-Go,https://github.com/halfrost/LeetCode-Go,33792,18/07/2017,3319,9.1,214,182,5,05/08/2026,14,Go,"Go, JavaScript, CSS, Shell, Python",82,0,82,1.0,3162.76,209.72,80.52
k3s-io/k3s,https://github.com/k3s-io/k3s,33763,31/05/2018,3002,8.2,5557,4865,1000,18/08/2026,1,Go,"Go, Shell, Dockerfile, Makefile, HCL, Ruby, Go Template",7690,52,7638,0.9932,3162.76,209.72,80.52
SerenityOS/serenity,https://github.com/SerenityOS/serenity,33761,02/12/2018,2817,7.7,22549,20156,0,19/08/2026,0,C++,"C++, C, Makefile, Assembly, Shell, HTML, CSS, CMake, JavaScript, Dockerfile",4315,726,3589,0.8317,8311.21,116.07,94.29
mli/paper-reading,https://github.com/mli/paper-reading,33708,22/10/2021,1762,4.8,19,15,0,22/03/2025,515,,,0,0,0,,1575.95,5.59,292.54
anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,33699,20/11/2025,272,0.7,4400,3233,0,19/08/2026,0,Shell,"Shell, Python, HTML, TypeScript, JavaScript",1079,906,173,0.1603,6587.32,101.51,68.88
Pythagora-io/gpt-pilot,https://github.com/Pythagora-io/gpt-pilot,33694,16/08/2023,1099,3.0,513,397,0,18/06/2026,62,Python,"Python, JavaScript, CSS, EJS, HTML, Mako, Smarty, Dockerfile, TypeScript, Shell",559,243,316,0.5653,4381.96,96.0,134.19
alibaba/easyexcel,https://github.com/alibaba/easyexcel,33671,06/02/2018,3116,8.5,461,190,14,29/10/2024,659,Java,Java,3617,489,3128,0.8648,1668.22,57.66,146.66
