nome_repositorio,url,estrelas,data_criacao,idade_em_dias,idade_em_anos,total_pull_requests,total_pull_requests_aceitas,total_releases,data_ultima_atualizacao,dias_desde_ultima_atualizacao,linguagem_primaria,linguagens,total_issues,issues_abertas,issues_fechadas,razao_issues_fechadas,media_prs_aceitas_linguagem,media_releases_linguagem,media_dias_desde_atualizacao_linguagem
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,541259,09/05/2018,3024,8.3,743,157,0,14/07/2026,36,Markdown,Markdown,948,271,677,0.7141,133.67,0.0,71.67
sindresorhus/awesome,https://github.com/sindresorhus/awesome,497775,11/07/2014,4422,12.1,2511,701,0,18/08/2026,1,,,368,16,352,0.9565,1575.95,5.59,292.54
public-apis/public-apis,https://github.com/public-apis/public-apis,465844,20/03/2016,3803,10.4,5331,2147,0,18/08/2026,1,Shell,"Shell, Python",940,30,910,0.9681,6587.32,101.51,68.88
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,454329,24/12/2014,4256,11.7,46562,29117,0,19/08/2026,0,JavaScript,"JavaScript, CSS, HTML, Shell, Dockerfile, TypeScript, HCL",22064,163,21901,0.9926,4153.66,207.36,93.73
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,394789,11/10/2013,4695,12.9,11777,7423,0,18/08/2026,1,HTML,"HTML, Python",1293,38,1255,0.9706,2959.28,84.38,78.49
openclaw/openclaw,https://github.com/openclaw/openclaw,386801,24/11/2025,268,0.7,76382,26376,234,19/08/2026,0,JavaScript,"JavaScript, TypeScript, Swift, Shell, HTML, Kotlin, Ruby, CSS, Python, Dockerfile",47608,3503,44105,0.9264,4153.66,207.36,93.73
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,364936,15/03/2017,3444,9.4,6249,4399,1,18/08/2026,1,TypeScript,"TypeScript, JavaScript",3185,0,3185,1.0,3951.0,209.41,39.23
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,364902,26/02/2017,3461,9.5,717,210,0,20/03/2026,152,Python,"Python, Shell",402,275,127,0.3159,4381.96,96.0,134.19
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,359239,06/06/2016,3726,10.2,1058,415,0,28/08/2025,356,,,536,81,455,0.8489,1575.95,5.59,292.54
vinta/awesome-python,https://github.com/vinta/awesome-python,314934,27/06/2014,4436,12.2,2565,741,0,16/08/2026,3,Python,"Python, Makefile, JavaScript, CSS, HTML",0,0,0,,4381.96,96.0,134.19
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,313727,01/06/2015,4097,11.2,0,0,1,19/08/2026,0,,,0,0,0,,1575.95,5.59,292.54
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,279952,12/04/2017,3416,9.4,582,194,0,17/08/2026,2,Python,Python,240,152,88,0.3667,4381.96,96.0,134.19
996icu/996.ICU,https://github.com/996icu/996.ICU,276726,26/03/2019,2703,7.4,2001,1072,0,22/08/2025,362,,,0,0,0,,1575.95,5.59,292.54
obra/superpowers,https://github.com/obra/superpowers,274170,09/10/2025,314,0.9,1139,167,12,19/08/2026,0,Shell,"Shell, TypeScript, JavaScript, Batchfile, Python, HTML",855,100,755,0.883,6587.32,101.51,68.88
react/react,https://github.com/react/react,247422,24/05/2013,4835,13.2,20071,13035,132,19/08/2026,0,JavaScript,"JavaScript, Shell, CoffeeScript, TypeScript, HTML, CSS, Rust",14623,822,13801,0.9438,4153.66,207.36,93.73
torvalds/linux,https://github.com/torvalds/linux,243310,04/09/2011,5462,15.0,0,0,0,19/08/2026,0,Makefile,"Makefile, C, Assembly, C++, Shell, Perl, Awk, Python, UnrealScript, Yacc",0,0,0,,6824.34,158.88,82.6
affaan-m/ECC,https://github.com/affaan-m/ECC,241152,18/01/2026,213,0.6,1979,997,15,18/08/2026,1,Shell,"Shell, JavaScript, Python, TypeScript, PowerShell, Rust, Swift, CSS, Dockerfile",710,43,667,0.9394,6587.32,101.51,68.88
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,239180,23/06/2018,2979,8.2,411,122,0,19/11/2024,638,,,0,0,0,,1575.95,5.59,292.54
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,232998,22/07/2025,392,1.1,67071,11267,28,19/08/2026,0,Python,"Python, Shell, TeX, BibTeX Style, Makefile, PowerShell, HTML, JavaScript, CSS, Batchfile",22647,11340,11307,0.4993,4381.96,96.0,134.19
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,223883,16/07/2016,3686,10.1,12520,3088,0,03/08/2026,16,Python,"Python, Dockerfile, Shell",1749,143,1606,0.9182,4381.96,96.0,134.19
mattpocock/skills,https://github.com/mattpocock/skills,223524,03/02/2026,197,0.5,145,93,7,19/08/2026,0,Shell,"Shell, JavaScript",672,364,308,0.4583,6587.32,101.51,68.88
vuejs/vue,https://github.com/vuejs/vue,210236,29/07/2013,4769,13.1,2651,1136,249,10/10/2024,678,JavaScript,"JavaScript, HTML, Shell, CSS, TypeScript",10034,364,9670,0.9637,4153.66,207.36,93.73
ossu/computer-science,https://github.com/ossu/computer-science,208176,04/05/2014,4490,12.3,528,315,0,14/07/2026,36,HTML,HTML,675,17,658,0.9748,2959.28,84.38,78.49
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,203913,27/01/2026,204,0.6,154,12,0,20/04/2026,121,,,0,0,0,,1575.95,5.59,292.54
n8n-io/n8n,https://github.com/n8n-io/n8n,201198,22/06/2019,2615,7.2,26383,20199,767,19/08/2026,0,Shell,"Shell, Dockerfile, TypeScript, JavaScript, HTML, Vue, Batchfile, SCSS, Handlebars, CSS",10042,340,9702,0.9661,6587.32,101.51,68.88
anomalyco/opencode,https://github.com/anomalyco/opencode,199177,30/04/2025,476,1.3,18719,7353,860,19/08/2026,0,Shell,"Shell, JavaScript, Astro, TypeScript, MDX, CSS, HTML, Nix, Dockerfile, PowerShell",24122,3973,20149,0.8353,6587.32,101.51,68.88
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,197067,07/11/2015,3938,10.8,80409,48928,222,19/08/2026,0,Starlark,"Starlark, Dockerfile, Shell, Python, Batchfile, C++, C, Linker Script, MLIR, Jupyter Notebook",41700,768,40932,0.9816,24465.0,111.0,172.5
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,196529,24/03/2018,3070,8.4,863,309,0,26/07/2026,24,JavaScript,JavaScript,373,135,238,0.6381,4153.66,207.36,93.73
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195089,31/03/2026,141,0.4,381,143,0,16/08/2026,3,Python,"Python, Rust, Shell, Dockerfile, HTML",2211,16,2195,0.9928,4381.96,96.0,134.19
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,194331,30/05/2024,811,2.2,0,0,0,12/08/2026,7,Markdown,Markdown,0,0,0,,133.67,0.0,71.67
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,189268,28/08/2009,6200,17.0,8237,3653,0,17/08/2026,1,Shell,"Shell, Python, Makefile",5079,154,4925,0.9697,6587.32,101.51,68.88
microsoft/vscode,https://github.com/microsoft/vscode,188934,03/09/2015,4003,11.0,64146,52169,234,19/08/2026,0,JavaScript,"JavaScript, TypeScript, Batchfile, Shell, CSS, HTML, PowerShell, Python, Inno Setup, Roff",251216,17533,233683,0.9302,4153.66,207.36,93.73
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,187587,12/01/2020,2410,6.6,64,7,31,04/07/2026,46,Batchfile,"Batchfile, HTML",1073,6,1067,0.9944,6702.5,190.5,8.83
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,186689,16/03/2023,1252,3.4,8633,4774,117,19/08/2026,0,Python,"Python, Dockerfile, Batchfile, Shell, JavaScript, TypeScript, CSS, Jinja, PLpgSQL, Elixir",3939,288,3651,0.9269,4381.96,96.0,134.19
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,185623,26/10/2020,2123,5.8,5106,3405,135,19/08/2026,0,Makefile,"Makefile, Python, Shell, Batchfile, Dockerfile",11929,1973,9956,0.8346,6824.34,158.88,82.6
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,185496,13/02/2018,3109,8.5,628,374,0,21/08/2024,728,,,579,130,449,0.7755,1575.95,5.59,292.54
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,185391,01/03/2018,3093,8.5,388,13,0,29/07/2026,21,Python,"Python, HTML, Java, Jupyter Notebook",729,536,193,0.2647,4381.96,96.0,134.19
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184713,16/11/2013,4659,12.8,899,370,0,15/02/2026,185,,,947,0,947,1.0,1575.95,5.59,292.54
avelino/awesome-go,https://github.com/avelino/awesome-go,181559,06/07/2014,4427,12.1,5531,3881,0,19/08/2026,0,Go,Go,759,23,736,0.9697,3162.76,209.72,80.52
ollama/ollama,https://github.com/ollama/ollama,178975,26/06/2023,1150,3.2,6457,3528,246,19/08/2026,0,TypeScript,"TypeScript, JavaScript, CSS, HTML, Dockerfile, Go, Shell, PowerShell, Inno Setup, Objective-C",11023,2430,8593,0.7796,3951.0,209.41,39.23
flutter/flutter,https://github.com/flutter/flutter,178500,06/03/2015,4183,11.5,74630,49665,7,19/08/2026,0,Dart,"Dart, Shell, HTML, Objective-C, PowerShell, Batchfile, Java, Swift, Ruby, CSS",115235,12577,102658,0.8909,25058.5,3.5,60.0
github/gitignore,https://github.com/github/gitignore,175376,08/11/2010,5763,15.8,4776,1779,0,23/07/2026,27,,,0,0,0,,1575.95,5.59,292.54
microsoft/markitdown,https://github.com/microsoft/markitdown,174682,13/11/2024,644,1.8,898,184,20,19/08/2026,0,Python,"Python, Dockerfile",572,391,181,0.3164,4381.96,96.0,134.19
twbs/bootstrap,https://github.com/twbs/bootstrap,174616,29/07/2011,5499,15.1,16492,9481,94,19/08/2026,0,JavaScript,"JavaScript, HTML, CSS, SCSS, TypeScript, Astro, MDX, Shell",22944,106,22838,0.9954,4153.66,207.36,93.73
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,171787,04/05/2016,3759,10.3,64,17,68,02/08/2026,17,Python,Python,3324,615,2709,0.815,4381.96,96.0,134.19
anthropics/skills,https://github.com/anthropics/skills,170464,22/09/2025,331,0.9,1137,50,0,18/08/2026,1,Python,"Python, JavaScript, HTML, Shell",365,316,49,0.1342,4381.96,96.0,134.19
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,169579,15/04/2024,856,2.3,3255,1936,35,19/08/2026,0,Dockerfile,"Dockerfile, JavaScript, TypeScript, Python, HTML, CSS, Procfile, Shell, Rust, Go",954,68,886,0.9287,1947.39,130.55,56.58
f/prompts.chat,https://github.com/f/prompts.chat,167585,05/12/2022,1353,3.7,916,236,0,19/08/2026,0,JavaScript,"JavaScript, CSS, TypeScript, Shell, Dockerfile, MDX, HTML",173,21,152,0.8786,4153.66,207.36,93.73
deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,166703,13/08/2026,6,0.0,0,0,2,19/08/2026,0,Python,"Python, TypeScript, JavaScript, HTML, C, CSS, C++, Shell, PLpgSQL",0,0,0,,4381.96,96.0,134.19
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,164584,22/08/2022,1458,4.0,3362,1875,27,02/03/2026,170,Python,"Python, CSS, JavaScript, Batchfile, Shell, HTML",7913,2422,5491,0.6939,4381.96,96.0,134.19
huggingface/transformers,https://github.com/huggingface/transformers,164267,29/10/2018,2851,7.8,28054,20219,269,19/08/2026,0,Python,"Python, Dockerfile, Shell, Makefile, Jsonnet",19330,871,18459,0.9549,4381.96,96.0,134.19
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,162127,20/05/2015,4109,11.3,608,317,0,25/06/2024,785,,,264,126,138,0.5227,1575.95,5.59,292.54
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,157890,07/05/2018,3026,8.3,1614,1270,0,18/08/2026,1,JavaScript,JavaScript,1158,58,1100,0.9499,4153.66,207.36,93.73
langflow-ai/langflow,https://github.com/langflow-ai/langflow,153478,08/02/2023,1287,3.5,10455,7329,304,19/08/2026,0,HTML,"HTML, CSS, TypeScript, Dockerfile, Shell, Python, JavaScript, Makefile, Mako, Batchfile",3423,213,3210,0.9378,2959.28,84.38,78.49
langgenius/dify,https://github.com/langgenius/dify,152916,12/04/2023,1225,3.4,17274,13431,168,19/08/2026,0,Python,"Python, PHP, JavaScript, Dockerfile, Shell, Mako, TypeScript, CSS, HTML, Makefile",18650,290,18360,0.9845,4381.96,96.0,134.19
open-webui/open-webui,https://github.com/open-webui/open-webui,149258,06/10/2023,1047,2.9,10353,4070,167,19/08/2026,0,JavaScript,"JavaScript, Dockerfile, Shell, CSS, HTML, Svelte, TypeScript, Python, Batchfile, Makefile",9403,203,9200,0.9784,4153.66,207.36,93.73
airbnb/javascript,https://github.com/airbnb/javascript,148133,01/11/2012,5038,13.8,1713,822,0,16/04/2026,125,JavaScript,JavaScript,1416,100,1316,0.9294,4153.66,207.36,93.73
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,147924,21/11/2017,3193,8.7,701,153,52,17/08/2026,2,Meson,"Meson, C, Java, Shell, Roff, Batchfile, VBScript, AIDL",6148,2793,3355,0.5457,153.0,52.0,2.0
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,146284,13/10/2025,310,0.8,533,222,0,06/08/2026,13,Shell,"Shell, PowerShell, Python",145,58,87,0.6,6587.32,101.51,68.88
langchain-ai/langchain,https://github.com/langchain-ai/langchain,144575,17/10/2022,1402,3.8,23961,17274,1000,19/08/2026,0,Python,"Python, Makefile, HTML, Dockerfile, JavaScript, Shell, XSLT",10013,322,9691,0.9678,4381.96,96.0,134.19
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,142936,05/03/2025,532,1.5,218,52,0,11/08/2026,8,,,212,91,121,0.5708,1575.95,5.59,292.54
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,142007,05/07/2016,3697,10.1,589,494,0,07/08/2026,12,JavaScript,"JavaScript, Python, CSS, TypeScript",126,34,92,0.7302,4153.66,207.36,93.73
anthropics/claude-code,https://github.com/anthropics/claude-code,142003,22/02/2025,543,1.5,1276,162,191,18/08/2026,1,Dockerfile,"Dockerfile, Shell, PowerShell, TypeScript, Python",85291,14433,70858,0.8308,1947.39,130.55,56.58
vercel/next.js,https://github.com/vercel/next.js,141868,05/10/2016,3604,9.9,39343,28231,1000,19/08/2026,0,JavaScript,"JavaScript, CSS, TypeScript, Shell, SCSS, Sass, Rust, Batchfile, MDX, HTML",25207,1893,23314,0.9249,4153.66,207.36,93.73
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,140976,31/10/2010,5771,15.8,5017,1646,341,19/02/2026,181,Makefile,"Makefile, Python, Shell, ActionScript, Batchfile",26831,3626,23205,0.8649,6824.34,158.88,82.6
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,138868,21/11/2023,1002,2.7,1337,1015,67,19/08/2026,0,Shell,"Shell, JavaScript, Rust, SCSS, TypeScript, HTML, NSIS",5811,387,5424,0.9334,6587.32,101.51,68.88
microsoft/PowerToys,https://github.com/microsoft/PowerToys,137887,01/05/2019,2667,7.3,8500,7013,142,19/08/2026,0,Batchfile,"Batchfile, C++, C, C#, PowerShell, HLSL, HTML, JavaScript, Rich Text Format, Makefile",41154,7383,33771,0.8206,6702.5,190.5,8.83
iptv-org/iptv,https://github.com/iptv-org/iptv,136198,14/11/2018,2834,7.8,8050,6998,0,19/08/2026,0,JavaScript,"JavaScript, TypeScript",34543,36,34507,0.999,4153.66,207.36,93.73
golang/go,https://github.com/golang/go,135907,19/08/2014,4383,12.0,5297,1,0,19/08/2026,0,Shell,"Shell, Go, C, HTML, JavaScript, Assembly, Makefile, Awk, Perl, Python",72888,9687,63201,0.8671,6587.32,101.51,68.88
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,135385,19/02/2020,2373,6.5,510,244,0,28/02/2026,172,Markdown,Markdown,981,0,981,1.0,133.67,0.0,71.67
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,133242,29/04/2024,842,2.3,766,242,0,17/08/2026,2,Python,"Python, TypeScript, Dockerfile, Shell, PLpgSQL, CSS, JavaScript, HTML, Batchfile",174,6,168,0.9655,4381.96,96.0,134.19
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,132214,18/03/2015,4172,11.4,4516,3080,0,17/08/2026,2,HTML,HTML,0,0,0,,2959.28,84.38,78.49
github/spec-kit,https://github.com/github/spec-kit,130305,21/08/2025,362,1.0,2167,1398,213,19/08/2026,0,Shell,"Shell, Python, PowerShell",1515,157,1358,0.8964,6587.32,101.51,68.88
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,130029,02/01/2020,2421,6.6,6401,3961,15,16/08/2026,3,HTML,"HTML, TypeScript, JavaScript, Dockerfile, SCSS, CSS, Shell, MDX",4916,2266,2650,0.5391,2959.28,84.38,78.49
krahets/hello-algo,https://github.com/krahets/hello-algo,129485,04/11/2022,1384,3.8,1274,996,10,17/08/2026,2,Java,"Java, C++, Python, Go, JavaScript, Swift, CMake, Dockerfile, Ruby",292,14,278,0.9521,1668.22,57.66,146.66
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,128743,29/11/2017,3185,8.7,1679,856,12,19/08/2026,0,JavaScript,"JavaScript, TypeScript, Astro, Shell, SCSS, CSS",300,0,300,1.0,4153.66,207.36,93.73
garrytan/gstack,https://github.com/garrytan/gstack,128732,11/03/2026,160,0.4,1853,308,0,19/08/2026,0,TypeScript,"TypeScript, Shell, Go Template, JavaScript, CSS, HTML, Swift, Python",769,298,471,0.6125,3951.0,209.41,39.23
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,128446,17/01/2023,1310,3.6,4967,3161,153,19/08/2026,0,Python,"Python, Batchfile, Mako, GLSL",9148,4104,5044,0.5514,4381.96,96.0,134.19
farion1231/cc-switch,https://github.com/farion1231/cc-switch,128294,04/08/2025,380,1.0,1684,458,51,19/08/2026,0,TypeScript,"TypeScript, CSS, HTML, Rust, JavaScript",4687,1503,3184,0.6793,3951.0,209.41,39.23
react/react-native,https://github.com/react/react-native,126366,09/01/2015,4240,11.6,28192,999,471,19/08/2026,0,Objective-C,"Objective-C, JavaScript, Shell, HTML, Ruby, C, Objective-C++, Java, C++, Assembly",27781,673,27108,0.9758,1534.25,182.5,331.5
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,124713,10/03/2023,1258,3.4,14097,9762,1000,19/08/2026,0,Makefile,"Makefile, Python, C, C++, Shell, CMake, Dockerfile, Nix, Cuda, Objective-C",9551,772,8779,0.9192,6824.34,158.88,82.6
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,124606,06/06/2014,4456,12.2,91176,65651,810,19/08/2026,0,Python,"Python, Makefile, Shell, C, Go, HTML, sed, Dockerfile, PowerShell, Go Template",49546,1844,47702,0.9628,4381.96,96.0,134.19
electron/electron,https://github.com/electron/electron,122582,12/04/2013,4877,13.4,30250,26682,1000,19/08/2026,0,C++,"C++, C, Objective-C++, Objective-C, Python, HTML, JavaScript, Shell, CSS, TypeScript",21826,683,21143,0.9687,8311.21,116.07,94.29
shadcn-ui/ui,https://github.com/shadcn-ui/ui,121658,04/01/2023,1323,3.6,4727,1439,117,19/08/2026,0,Shell,"Shell, TypeScript, JavaScript, CSS, MDX, HTML, Astro, Dockerfile",4236,1068,3168,0.7479,6587.32,101.51,68.88
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,121260,28/09/2020,2151,5.9,5454,4206,39,19/08/2026,0,Rust,"Rust, C++, Shell, HTML, CSS, C, Dockerfile, AppleScript, Objective-C, Python",4305,79,4226,0.9816,4846.14,145.22,23.78
nodejs/node,https://github.com/nodejs/node,119020,26/11/2014,4284,11.7,42048,13222,512,19/08/2026,0,JavaScript,"JavaScript, Shell, C, Makefile, C++, Python, R, Batchfile, HTML, Emacs Lisp",20774,698,20076,0.9664,4153.66,207.36,93.73
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,118631,30/03/2016,3794,10.4,177,41,0,26/07/2026,24,,,0,0,0,,1575.95,5.59,292.54
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,118401,04/11/2013,4671,12.8,482,300,3,29/07/2026,21,,,0,0,0,,1575.95,5.59,292.54
nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,118215,30/11/2025,262,0.7,265,139,41,18/08/2026,1,Python,"Python, TypeScript, JavaScript, HTML, Shell, CSS",173,39,134,0.7746,4381.96,96.0,134.19
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,118105,19/06/2023,1157,3.2,889,601,0,13/08/2026,6,JavaScript,"JavaScript, HTML, Shell, Jupyter Notebook, Python, TypeScript, Batchfile, PowerShell",244,0,244,1.0,4153.66,207.36,93.73
godotengine/godot,https://github.com/godotengine/godot,115881,04/01/2014,4610,12.6,57984,43392,72,19/08/2026,0,C++,"C++, Python, Shell, Objective-C++, Java, JavaScript, C#, GLSL, CMake, Kotlin",63369,13410,49959,0.7884,8311.21,116.07,94.29
rust-lang/rust,https://github.com/rust-lang/rust,115611,16/06/2010,5908,16.2,97202,73601,153,19/08/2026,0,Makefile,"Makefile, Rust, CSS, Python, Shell, C, C++, JavaScript, HTML, RenderScript",63551,11360,52191,0.8212,6824.34,158.88,82.6
mrdoob/three.js,https://github.com/mrdoob/three.js,114613,23/03/2010,5993,16.4,20318,16004,177,19/08/2026,0,JavaScript,"JavaScript, CSS, HTML, Roff",13743,245,13498,0.9822,4153.66,207.36,93.73
2dust/v2rayN,https://github.com/2dust/v2rayN,114226,30/07/2019,2577,7.1,969,606,333,19/08/2026,0,C#,"C#, Shell",7139,17,7122,0.9976,3161.25,140.25,74.88
d3/d3,https://github.com/d3/d3,113498,27/09/2010,5805,15.9,1218,495,194,28/05/2026,83,JavaScript,"JavaScript, Shell",2247,5,2242,0.9978,4153.66,207.36,93.73
immich-app/immich,https://github.com/immich-app/immich,111765,03/02/2022,1658,4.5,12307,10032,305,19/08/2026,0,HTML,"HTML, Shell, JavaScript, Dockerfile, TypeScript, Ruby, Kotlin, Swift, Objective-C, Dart",9149,481,8668,0.9474,2959.28,84.38,78.49
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,111441,17/07/2016,3685,10.1,1962,1245,15,19/08/2026,0,Dockerfile,"Dockerfile, Swift",562,159,403,0.7171,1947.39,130.55,56.58
tauri-apps/tauri,https://github.com/tauri-apps/tauri,110372,13/07/2019,2594,7.1,6813,5674,0,19/08/2026,0,Rust,"Rust, JavaScript, Shell, TypeScript, PowerShell, AppleScript, Standard ML, CSS, HTML, Svelte",6419,1285,5134,0.7998,4846.14,145.22,23.78
harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,110355,11/03/2024,891,2.4,366,203,17,19/08/2026,0,Python,"Python, Shell, Batchfile, HTML, Dockerfile, CSS",771,16,755,0.9792,4381.96,96.0,134.19
microsoft/TypeScript,https://github.com/microsoft/TypeScript,110211,17/06/2014,4446,12.2,19252,14893,217,14/08/2026,5,JavaScript,"JavaScript, TypeScript, Shell",43256,5017,38239,0.884,4153.66,207.36,93.73
browser-use/browser-use,https://github.com/browser-use/browser-use,109770,31/10/2024,657,1.8,3485,1897,135,19/08/2026,0,Python,"Python, Dockerfile, Shell, HTML",1606,102,1504,0.9365,4381.96,96.0,134.19
VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,109282,31/03/2026,141,0.4,67,6,0,31/07/2026,19,,,385,307,78,0.2026,1575.95,5.59,292.54
axios/axios,https://github.com/axios/axios,109199,18/08/2014,4383,12.0,2732,1482,123,19/08/2026,0,JavaScript,"JavaScript, HTML, TypeScript",5055,46,5009,0.9909,4153.66,207.36,93.73
fatedier/frp,https://github.com/fatedier/frp,108881,21/12/2015,3894,10.7,1274,861,116,17/08/2026,2,Makefile,"Makefile, Go, Shell, HTML, JavaScript, Vue, CSS, TypeScript, SCSS",4142,42,4100,0.9899,6824.34,158.88,82.6
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,108846,15/12/2013,4630,12.7,541,444,0,01/07/2026,49,Shell,Shell,252,2,250,0.9921,6587.32,101.51,68.88
Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,108307,03/04/2026,138,0.4,1357,135,193,19/08/2026,0,Python,"Python, Dockerfile",1392,477,915,0.6573,4381.96,96.0,134.19
denoland/deno,https://github.com/denoland/deno,108263,15/05/2018,3018,8.3,20158,16462,388,19/08/2026,0,TypeScript,"TypeScript, JavaScript, Rust, Dockerfile, C, CSS, Python, C++, Svelte, HTML",15002,1177,13825,0.9215,3951.0,209.41,39.23
supabase/supabase,https://github.com/supabase/supabase,108165,12/10/2019,2503,6.9,23604,18694,30,19/08/2026,0,JavaScript,"JavaScript, CSS, Makefile, TypeScript, PLpgSQL, Shell, Dockerfile, MDX, Mermaid, Elixir",5844,277,5567,0.9526,4153.66,207.36,93.73
openai/whisper,https://github.com/openai/whisper,107627,16/09/2022,1433,3.9,398,122,13,28/07/2026,22,Python,Python,0,0,0,,4381.96,96.0,134.19
openai/codex,https://github.com/openai/codex,106847,13/04/2025,493,1.4,15037,9639,996,19/08/2026,0,JavaScript,"JavaScript, Dockerfile, Shell, Python, Nix, Rust, Just, HTML, TypeScript, PowerShell",23433,12937,10496,0.4479,4153.66,207.36,93.73
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,106579,17/04/2025,489,1.3,12569,6658,591,19/08/2026,0,TypeScript,"TypeScript, JavaScript, Dockerfile, Shell, Makefile, HTML, C#, Python",14231,560,13671,0.9606,3951.0,209.41,39.23
DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,105896,12/06/2026,68,0.2,454,174,15,07/08/2026,11,JavaScript,"JavaScript, PowerShell, Shell, Python",271,60,211,0.7786,4153.66,207.36,93.73
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,105588,15/09/2017,3260,8.9,1014,766,0,15/06/2026,65,Dockerfile,"Dockerfile, TypeScript",342,54,288,0.8421,1947.39,130.55,56.58
microsoft/terminal,https://github.com/microsoft/terminal,104632,11/08/2017,3295,9.0,5362,4521,156,18/08/2026,0,C#,"C#, Batchfile, PowerShell, C++, C, Roff, Python, JavaScript, HTML, HLSL",14058,1647,12411,0.8828,3161.25,140.25,74.88
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,104347,26/12/2024,601,1.6,207,25,1,28/08/2025,356,Python,Python,1084,140,944,0.8708,4381.96,96.0,134.19
react/create-react-app,https://github.com/react/create-react-app,103288,17/07/2016,3685,10.1,4429,1949,83,15/02/2025,550,JavaScript,"JavaScript, CSS, HTML, Shell, AppleScript, TypeScript, Sass, SCSS",8432,1856,6576,0.7799,4153.66,207.36,93.73
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,103017,23/07/2023,1123,3.1,587,507,0,10/08/2026,9,Jupyter Notebook,"Jupyter Notebook, Python, Dockerfile",240,2,238,0.9917,257.0,7.23,134.46
